,line,st_num,s_name
0,1,150,서울역
2,1,151,시청
4,1,152,종각
6,1,153,종로3가
8,1,154,종로5가
10,1,155,동대문
12,1,156,신설동
14,1,157,제기동
16,1,158,청량리(서울시립대입구)
18,1,159,동묘앞
20,2,201,시청
22,2,202,을지로입구
24,2,203,을지로3가
26,2,204,을지로4가
28,2,205,동대문역사문화공원(DDP)
30,2,206,신당
32,2,207,상왕십리
34,2,208,왕십리(성동구청)
36,2,209,한양대
38,2,210,뚝섬
40,2,211,성수
42,2,212,건대입구
44,2,213,구의(광진구청)
46,2,214,강변(동서울터미널)
48,2,215,잠실나루
50,2,216,잠실(송파구청)
52,2,217,잠실새내
54,2,218,종합운동장
56,2,219,삼성(무역센터)
58,2,220,선릉
60,2,221,역삼
62,2,222,강남
64,2,223,교대(법원.검찰청)
66,2,224,서초
68,2,225,방배
70,2,226,사당
72,2,227,낙성대
74,2,228,서울대입구(관악구청)
76,2,229,봉천
78,2,230,신림
80,2,231,신대방
82,2,232,구로디지털단지
84,2,233,대림(구로구청)
86,2,234,신도림
88,2,235,문래
90,2,236,영등포구청
92,2,237,당산
94,2,238,합정
96,2,239,홍대입구
98,2,240,신촌
100,2,241,이대
102,2,242,아현
104,2,243,충정로(경기대입구)
106,2,244,용답
108,2,245,신답
110,2,246,신설동
112,2,247,도림천
114,2,248,양천구청
116,2,249,신정네거리
118,2,250,용두(동대문구청)
120,3,309,지축
122,3,310,구파발
124,3,311,연신내
126,3,312,불광
128,3,313,녹번
130,3,314,홍제
132,3,315,무악재
134,3,316,독립문
136,3,317,경복궁(정부서울청사)
138,3,318,안국
140,3,319,종로3가
142,3,320,을지로3가
144,3,322,동대입구
146,3,323,약수
148,3,324,금호
150,3,325,옥수
152,3,326,압구정
154,3,327,신사
156,3,328,잠원
158,3,329,고속터미널
160,3,330,교대(법원.검찰청)
162,3,331,남부터미널(예술의전당)
164,3,332,양재(서초구청)
166,3,333,매봉
168,3,334,도곡
170,3,335,대치
172,3,336,학여울
174,3,337,대청
176,3,338,일원
178,3,339,수서
180,3,340,가락시장
182,3,341,경찰병원
184,3,342,오금
186,4,409,당고개
188,4,410,상계
190,4,411,노원
192,4,412,창동
194,4,413,쌍문
196,4,414,수유(강북구청)
198,4,415,미아(서울사이버대학)
200,4,416,미아사거리
202,4,417,길음
204,4,418,성신여대입구(돈암)
206,4,419,한성대입구(삼선교)
208,4,420,혜화
210,4,421,동대문
212,4,422,동대문역사문화공원(DDP)
214,4,423,충무로
216,4,424,명동
218,4,425,회현(남대문시장)
220,4,426,서울역
222,4,427,숙대입구(갈월)
224,4,428,삼각지
226,4,429,신용산
228,4,430,이촌(국립중앙박물관)
230,4,431,동작(현충원)
232,4,432,총신대입구(이수)
234,4,433,사당
236,4,434,남태령
238,5,2511,방화
240,5,2512,개화산
242,5,2513,김포공항
244,5,2514,송정
246,5,2515,마곡
248,5,2516,발산
250,5,2517,우장산
252,5,2518,화곡
254,5,2519,까치산
256,5,2520,신정(은행정)
258,5,2521,목동
260,5,2522,오목교(목동운동장앞)
262,5,2523,양평
264,5,2524,영등포구청
266,5,2525,영등포시장
268,5,2526,신길
270,5,2527,여의도
272,5,2528,여의나루
274,5,2529,마포
276,5,2530,공덕
278,5,2531,애오개
280,5,2532,충정로(경기대입구)
282,5,2533,서대문
284,5,2534,광화문(세종문화회관)
286,5,2535,종로3가
288,5,2536,을지로4가
290,5,2537,동대문역사문화공원(DDP)
292,5,2538,청구
294,5,2539,신금호
296,5,2540,행당
298,5,2541,왕십리(성동구청)
300,5,2542,마장
302,5,2543,답십리
304,5,2544,장한평
306,5,2545,군자(능동)
308,5,2546,아차산(어린이대공원후문)
310,5,2547,광나루(장신대)
312,5,2548,천호(풍납토성)
314,5,2549,강동
316,5,2550,길동
318,5,2551,굽은다리(강동구민회관앞)
320,5,2552,명일
322,5,2553,고덕
324,5,2554,상일동
326,5,2555,둔촌동
328,5,2556,올림픽공원(한국체대)
330,5,2557,방이
332,5,2558,오금
334,5,2559,개롱
336,5,2560,거여
338,5,2561,마천
340,6,2611,응암
342,6,2612,역촌
344,6,2613,불광
346,6,2614,독바위
348,6,2616,구산
350,6,2617,새절(신사)
352,6,2618,증산(명지대앞)
354,6,2619,디지털미디어시티
356,6,2620,월드컵경기장(성산)
358,6,2621,마포구청
360,6,2622,망원
362,6,2623,합정
